file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\CobarShowStatus.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.CobarShowStatus,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\odps\ast\OdpsAddAccountProviderStatement.java,com.alibaba.druid.sql.dialect.odps.ast.OdpsAddAccountProviderStatement,class,5,8,3,5,7,2,0,5,4,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,24,1,0,1,0,0,0,0,1,0,1,1,0,0,0,21,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\pool\ha\selector\StickyRandomDataSourceSelector.java,com.alibaba.druid.pool.ha.selector.StickyRandomDataSourceSelector,class,8,10,2,8,16,2,0,20,22,0.7916667,0.0,0.0,8,0,5,3,0,0,5,0,0,0,3,1,0,3,0,0,1,0,1,48,8,0,1,0,2,3,3,11,3,8,1,0,0,0,46,1,2
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterImpl.java,com.alibaba.druid.proxy.jdbc.JdbcParameterImpl,class,1,2,1,1,10,1,0,0,0,0.56000006,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,5,0,0,41,5,0,0,0,0,0,4,5,0,5,0,0,0,0,17,17,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLShowUsersStatement.java,com.alibaba.druid.sql.ast.statement.SQLShowUsersStatement,class,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\db2\ast\stmt\DB2SelectQueryBlock.java,com.alibaba.druid.sql.dialect.db2.ast.stmt.DB2SelectQueryBlock$Isolation,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\oracle\ast\stmt\OracleRaiseStatement.java,com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleRaiseStatement,class,3,9,6,3,4,3,0,3,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,1,1,0,0,0,19,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\MySqlShowAuthorsStatement.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowAuthorsStatement,class,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\MySqlShowFunctionCodeStatement.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowFunctionCodeStatement,class,4,8,4,4,4,3,0,3,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,1,1,0,0,0,23,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\parser\MySqlLexer.java,com.alibaba.druid.sql.dialect.mysql.parser.MySqlLexer,class,12,15,3,12,220,2,0,32,60,0.86111116,0.0,0.0,12,1,10,0,2,0,15,0,1,0,3,3,2,1,0,0,2,0,7,627,28,18,144,0,19,37,85,178,68,48,4,0,0,0,124,1,0
