id,stargazerCount,nameWithOwner,url,createdAt,releases,ageinyears,LOC,CBO,DIT,LCOM
MDEwOlJlcG9zaXRvcnk3NTg3MDM4,23983,alibaba/canal,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,24,9.64,107079.0,4.0,1.0,0.25
MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==,23820,dromara/hutool,https://github.com/dromara/hutool,2014-04-13T07:23:51Z,119,8.39,111990.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=,23810,alibaba/nacos,https://github.com/alibaba/nacos,2018-06-15T06:49:27Z,47,4.22,109604.0,3.0,1.0,0.1
MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=,23790,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,0,3.86,0.0,,,
MDEwOlJlcG9zaXRvcnk5MzE1MjIyMw==,23778,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,10,5.26,18969.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=,23526,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,28,4.76,13235.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=,23449,halo-dev/halo,https://github.com/halo-dev/halo,2018-03-21T12:56:52Z,87,4.46,22233.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1NTg4Njc5OA==,23085,CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,193,6.4,3931.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMjExMjQz,22990,apache/kafka,https://github.com/apache/kafka,2011-08-15T18:06:16Z,0,11.06,403548.0,4.0,1.0,0.14285715
MDEwOlJlcG9zaXRvcnk2NzY2NTU4,22904,Netflix/Hystrix,https://github.com/Netflix/Hystrix,2012-11-19T20:14:46Z,79,9.79,62010.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=,22752,seata/seata,https://github.com/seata/seata,2018-12-28T08:37:22Z,33,3.69,176076.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyOTkwMTky,22739,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,2011-12-15T20:01:12Z,0,10.72,231170.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==,22405,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,2015-11-28T12:59:34Z,31,6.77,8598.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkzMjUzODg3MQ==,21325,google/gson,https://github.com/google/gson,2015-03-19T18:21:20Z,4,7.46,30949.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk0MTg4OTAzMQ==,20756,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,121,7.0,37776.0,5.0,1.0,0.25
MDEwOlJlcG9zaXRvcnkxMzg2MjM4MQ==,20662,DrKLO/Telegram,https://github.com/DrKLO/Telegram,2013-10-25T14:08:10Z,75,8.86,1009291.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MzczNTUx,20404,libgdx/libgdx,https://github.com/libgdx/libgdx,2012-08-10T19:34:38Z,9,10.07,279431.0,3.0,1.0,0.07692308
MDEwOlJlcG9zaXRvcnk0NTcyMTAxMQ==,20139,apache/skywalking,https://github.com/apache/skywalking,2015-11-07T03:30:36Z,53,6.83,64294.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=,19780,alibaba/Sentinel,https://github.com/alibaba/Sentinel,2018-04-04T06:37:33Z,21,4.42,52236.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==,19759,google/ExoPlayer,https://github.com/google/ExoPlayer,2014-06-13T21:19:18Z,20,8.23,221852.0,5.0,1.0,0.050125315
MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==,19717,redisson/redisson,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,112,8.65,127795.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMzA5NTk1NA==,19691,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,2014-08-19T03:46:38Z,18,8.04,1433.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==,19664,apache/flink,https://github.com/apache/flink,2014-06-07T07:00:10Z,0,8.24,1156961.0,4.0,1.0,0.083333336
MDEwOlJlcG9zaXRvcnkxMTAzNjA3,19409,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,2010-11-22T21:21:23Z,202,11.78,173240.0,4.0,2.0,0.0
MDEwOlJlcG9zaXRvcnkyMDc3Mzc3Mw==,19333,bazelbuild/bazel,https://github.com/bazelbuild/bazel,2014-06-12T16:00:38Z,170,8.23,578493.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNDQ3MDU2MDI=,18986,didi/DoKit,https://github.com/didi/DoKit,2018-08-14T10:32:07Z,10,4.06,80240.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNjE3NTc4Mzc=,18662,elunez/eladmin,https://github.com/elunez/eladmin,2018-12-14T08:54:24Z,0,3.72,7787.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MDg0NzUw,18325,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,2012-07-17T16:39:00Z,5,10.13,1792.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NTE2NDgyMw==,18002,apache/rocketmq,https://github.com/apache/rocketmq,2016-11-30T08:00:08Z,7,5.76,157319.0,3.0,1.0,0.0773809554999999
MDEwOlJlcG9zaXRvcnk2ODM0NzAz,17903,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,0,9.78,849.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3MzYxNDcyMg==,17758,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,40,5.81,29228.0,2.0,1.0,0.0
